编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey
JH-181,,"(1e,4e,6e)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one",,352.3813,C21H20O5,,其他,,,
JH-182,,3-methyl-6-(6-methylhept-5-en-2-yl)cyclohex-2-en-1-one,66964-98-5,220.351,C15H24O,,萜类,CC(C)=CCC(C)C1CCC(C)=CC1=O,"InChI=1S/C15H24O/c1-11(2)6-5-7-13(4)14-9-8-12(3)10-15(14)16/h6,10,13-14H,5,7-9H2,1-4H3",KNOUERLLBMJGLF-UHFFFAOYSA-N
JH-183,,"1,7-bis(4-hydroxyphenyl)hept-1-ene-3,5-dione",,310.3445,C19H18O4,,其他,,,
JH-184,β-石竹烯,Caryophyllene,87-44-5,204.3516,C15H24,,挥发油类,CC1=CCCC(=C)C2CC(C2CC1)(C)C,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+",NPNUFJAVOOONJE-IZZDOVSWSA-N
JH-185,D-樟脑,D-camphor,464-49-3,152.2338,C10H16O,,挥发油类,C[C@@]12CC@HC(=O)C2(C)C,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-/m1/s1",DSSYKIVIOFKYAU-XVKPBYJWSA-N
JH-186,,4-[(2s)-6-methyl-4-oxohept-5-en-2-yl]benzaldehyde,,230.3028,C15H18O2,,挥发油类,,,
JH-187,橙花醇,Nerol,106-25-2,154.2497,C10H18O,,萜类,C/C=C(/C)C1CCC(C)=CC1=O,"InChI=1S/C10H14O/c1-7(2)10-5-8(3)4-9(11)6-10/h4,6,10H,5H2,1-3H3/b7-6+",MDHYBMEXUDYBRJ-UHFFFAOYSA-N
JH-188,抑菌灵,Dichlofluanid,1085-98-9,333.2326,C9H11Cl2FN2O2S2,,其他,OCC1=CC=C(C)C=C1,"InChI=1S/C8H10O/c1-7-2-4-8(6-9)5-3-7/h2-5,9H,6H2,1H3",SJWFXWWGSNHBPH-UHFFFAOYSA-N
JH-189,,"(4z,6e)-5-hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)hepta-4,6-dien-3-one",,C20H20O5,C20H20O5,,其他,,,
JH-190,,"(6s)-2-methyl-6-[(1r)-4-methylcyclohexa-2,4-dien-1-yl]hept-2-en-4-one",,218.3351,C15H22O,,萜类,,,
JH-191,莪术烯醇,"(1r,2s,5r,8s)-2,6-dimethyl-9-(propan-2-ylidene)-11-oxatricyclo[6.2.1.0¹,⁵]undec-6-en-8-ol",350602-21-0,234.3345,C15H22O2,,萜类,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-192,,"5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one",115851-80-4,368.3807,C21H20O6,,其他,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-193,,(6s)-3-methyl-6-[(2s)-6-methylhept-5-en-2-yl]cyclohex-2-en-1-one,66964-98-5,220.351,C15H24O,,萜类,CC(C)=CC(=O)CC(C)C1=CC=C(C)C=C1,"InChI=1S/C15H20O/c1-12(2)8-7-14(16)11(3)13-9-10(4)5-6-13/h5-6,9,11H,7-8H2,1-4H3",KQZXZCGSSPTOFK-UHFFFAOYSA-N
JH-194,,(6r)-3-methyl-6-[(2s)-6-methylhept-5-en-2-yl]cyclohex-2-en-1-one,66964-98-5,220.351,C15H24O,,萜类,CC(C)=CC(=O)CC(C)C1=CC=C(C)C=C1,"InChI=1S/C15H20O/c1-12(2)8-7-14(16)11(3)13-9-10(4)5-6-13/h5-6,9,11H,7-8H2,1-4H3",KQZXZCGSSPTOFK-UHFFFAOYSA-N
JH-195,1-脱氢-6-姜酮,"(1e)-1-(4-hydroxy-3-methoxyphenyl)dec-1-ene-3,5-dione",76060-35-0,290.3548,C17H22O4,,其他,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-196,,5-hydroxy-2-methyl-6-(4-methylphenyl)hept-2-en-4-one,,232.3187,C15H20O2,,其他,,,
JH-197,百菌清,Chlorothalonil,1897-45-6,265.911,C8Cl4N2,,其他,ClC1=C(C#N)C(Cl)=C(Cl)C(Cl)=C1C#N,InChI=1S/C8Cl4N2/c9-5-3(1-13)6(10)8(12)7(11)4(5)2-14,CRQQGFGUEAVUIL-UHFFFAOYSA-N
JH-198,,"(1e,4e)-1,5-bis(4-hydroxy-3-methoxyphenyl)penta-1,4-dien-3-one",,326.3439,C19H18O5,,其他,,,
